SOURCEID,MARKET,DISCO_CODE,LOAD_PROFILE,RATE_CLASS,ESG_SOURCEID,MARKET_1,DISCO_CODE_1,PROFILE_CLASS,RATE_CLASS_1,METER_TYPE,LOSS_CODE,LOSS_DESCRIPTION,STATE,RES_FLAG,SEQ_ID,DEFAULT_FLAG
10112,ERCOT,ONCOR,,15,10112,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0,112,Y
10113,ERCOT,ONCOR,,31,10113,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0,113,Y
10114,ERCOT,ONCOR,,34,10114,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0,114,Y
10115,ERCOT,ONCOR,,37,10115,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0,115,Y
10116,ERCOT,ONCOR,,40,10116,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0,116,Y
10117,ERCOT,ONCOR,,43,10117,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0,117,Y
10118,ERCOT,ONCOR,,61,10118,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0,118,Y
10119,ERCOT,AEPCPL,,826,10119,ERCOT,AEPCPL,,ERCOT_BUS,SCALAR,A,Secondary,TX,0,119,Y
10120,ERCOT,AEPCPL,,827,10120,ERCOT,AEPCPL,,ERCOT_BUS,SCALAR,A,Secondary,TX,0,120,Y
10121,ERCOT,AEPCPL,,828,10121,ERCOT,AEPCPL,,ERCOT_BUS,SCALAR,A,Secondary,TX,0,121,Y
10122,ERCOT,AEPCPL,,829,10122,ERCOT,AEPCPL,,ERCOT_BUS,SCALAR,A,Secondary,TX,0,122,Y
10123,ERCOT,AEPCPL,,830,10123,ERCOT,AEPCPL,,ERCOT_BUS,SCALAR,A,Secondary,TX,0,123,Y
10124,ERCOT,AEPCPL,,831,10124,ERCOT,AEPCPL,,ERCOT_BUS,SCALAR,A,Secondary,TX,0,124,Y
10125,ERCOT,AEPCPL,,833,10125,ERCOT,AEPCPL,,ERCOT_BUS,SCALAR,A,Secondary,TX,0,125,Y
10126,ERCOT,AEPCPL,,838,10126,ERCOT,AEPCPL,,ERCOT_BUS,SCALAR,A,Secondary,TX,0,126,Y
10127,ERCOT,AEPCPL,,841,10127,ERCOT,AEPCPL,,ERCOT_BUS,SCALAR,B,Primary,TX,0,127,Y
10128,ERCOT,AEPCPL,,844,10128,ERCOT,AEPCPL,,ERCOT_BUS,SCALAR,B,Primary,TX,0,128,Y
10129,ERCOT,AEPCPL,,848,10129,ERCOT,AEPCPL,,ERCOT_BUS,SCALAR,B,Primary,TX,0,129,Y
10130,ERCOT,AEPCPL,,855,10130,ERCOT,AEPCPL,,ERCOT_BUS,SCALAR,A,Secondary,TX,0,130,Y
10131,ERCOT,AEPCPL,,857,10131,ERCOT,AEPCPL,,ERCOT_BUS,SCALAR,A,Secondary,TX,0,131,Y
10132,ERCOT,AEPWTU,,824,10132,ERCOT,AEPWTU,,ERCOT_BUS,SCALAR,A,Secondary,TX,0,132,Y
10133,ERCOT,AEPWTU,,825,10133,ERCOT,AEPWTU,,ERCOT_BUS,SCALAR,A,Secondary,TX,0,133,Y
10134,ERCOT,AEPWTU,,829,10134,ERCOT,AEPWTU,,ERCOT_BUS,SCALAR,A,Secondary,TX,0,134,Y
10135,ERCOT,AEPWTU,,830,10135,ERCOT,AEPWTU,,ERCOT_BUS,SCALAR,A,Secondary,TX,0,135,Y
10136,ERCOT,AEPWTU,,831,10136,ERCOT,AEPWTU,,ERCOT_BUS,SCALAR,A,Secondary,TX,0,136,Y
10137,ERCOT,AEPWTU,,832,10137,ERCOT,AEPWTU,,ERCOT_BUS,SCALAR,A,Secondary,TX,0,137,Y
10138,ERCOT,AEPWTU,,833,10138,ERCOT,AEPWTU,,ERCOT_BUS,SCALAR,A,Secondary,TX,0,138,Y
10139,ERCOT,AEPWTU,,835,10139,ERCOT,AEPWTU,,ERCOT_BUS,SCALAR,A,Secondary,TX,0,139,Y
10140,ERCOT,AEPWTU,,836,10140,ERCOT,AEPWTU,,ERCOT_BUS,SCALAR,A,Secondary,TX,0,140,Y
10141,ERCOT,AEPWTU,,838,10141,ERCOT,AEPWTU,,ERCOT_BUS,SCALAR,A,Secondary,TX,0,141,Y
10142,ERCOT,AEPWTU,,841,10142,ERCOT,AEPWTU,,ERCOT_BUS,SCALAR,B,Primary,TX,0,142,Y
10143,ERCOT,AEPWTU,,844,10143,ERCOT,AEPWTU,,ERCOT_BUS,SCALAR,B,Primary,TX,0,143,Y
10144,ERCOT,TNMP,,SLT5,10144,ERCOT,TNMP,,ERCOT_BUS,SCALAR,,SECONDARY,TX,0,144,Y
10145,ERCOT,TNMP,,SSGN,10145,ERCOT,TNMP,,ERCOT_BUS,SCALAR,,SECONDARY,TX,0,145,Y
10146,ERCOT,TNMP,,SSLN,10146,ERCOT,TNMP,,ERCOT_BUS,SCALAR,,SECONDARY,TX,0,146,Y
10147,ERCOT,TNMP,,SSMN,10147,ERCOT,TNMP,,ERCOT_BUS,SCALAR,,SECONDARY,TX,0,147,Y
10148,ERCOT,TNMP,,SSAN,10148,ERCOT,TNMP,,ERCOT_BUS,SCALAR,,SECONDARY,TX,0,148,Y
10149,ERCOT,TNMP,,DSGN,10149,ERCOT,TNMP,,ERCOT_BUS,SCALAR,,SECONDARY,TX,0,149,Y
10150,ERCOT,TNMP,,SSTD,10150,ERCOT,TNMP,,ERCOT_BUS,SCALAR,,SECONDARY,TX,0,150,Y
10151,ERCOT,TNMP,,PSGN,10151,ERCOT,TNMP,,ERCOT_BUS,SCALAR,,PRIMARY,TX,0,151,Y
10152,ERCOT,TNMP,,PSLN,10152,ERCOT,TNMP,,ERCOT_BUS,SCALAR,,PRIMARY,TX,0,152,Y
10153,ERCOT,TNMP,,PSMN,10153,ERCOT,TNMP,,ERCOT_BUS,SCALAR,,PRIMARY,TX,0,153,Y
10154,ERCOT,TNMP,,PSAN,10154,ERCOT,TNMP,,ERCOT_BUS,SCALAR,,PRIMARY,TX,0,154,Y
10155,ERCOT,CPT,,941,10155,ERCOT,CPT,,ERCOT_NM,SCALAR,D,SECONDARY,TX,0,155,N
10156,ERCOT,CPT,,961,10156,ERCOT,CPT,,ERCOT_NM,SCALAR,D,SECONDARY,TX,0,156,N
