,ESG_SOURCEID,MARKET,DISCO_CODE,PROFILE_CLASS,RATE_CLASS,METER_TYPE,LOSS_CODE,LOSS_DESCRIPTION,STATE,RES_FLAG,SEQ_ID,DEFAULT_FLAG,GROUP
121,49347,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,4447,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
122,49348,ERCOT,ONCOR,,ERCOT_BUS,IDR,B,PRIMARY,TX,0.0,4448,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
123,49349,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,4449,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
124,49350,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,4450,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
125,49351,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,B,PRIMARY,TX,0.0,4451,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
126,49379,ERCOT,ONCOR,,ERCOT_BUS,IDR,T,TRANSMISSION,TX,0.0,4479,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
127,49380,ERCOT,ONCOR,,ERCOT_BUS,IDR,T,TRANSMISSION,TX,0.0,4480,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
128,49381,ERCOT,ONCOR,,ERCOT_BUS,IDR,T,TRANSMISSION,TX,0.0,4481,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
129,50701,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,5802,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
130,50702,ERCOT,ONCOR,,ERCOT_BUS,SCALAR,A,SECONDARY,TX,0.0,5803,Y,"('ERCOT', 'ONCOR', 'ERCOT_BUS')"
