Utility Name,Rate Name,Description,Commodity,Voltage,Business Type,Loss Factor,Profile
AEP_OH_CS,AEP_OH_CS_RC_265,GENERAL SERVICE-LOW LF-SECONDARY - 1 CRITICAL PEAK,Power,Secondary,General Service,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_266,GENERAL SERVICE-LOW LF - PRIMARY - 1 CRITICAL PEAK,Power,Primary,General Service,AEP_OH_CS_LF_PRI,
AEP_OH_CS,AEP_OH_CS_RC_268,GENERAL SERVICE-MEDIUM LF-SECONDARY - 1 CRITICAL PEAK,Power,Secondary,General Service,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_269,GENERAL SERVICE-MEDIUM LF-PRIMARY - 1 CRITICAL PEAK,Power,Primary,General Service,AEP_OH_CS_LF_PRI,
AEP_OH_CS,AEP_OH_CS_RC_272,GENERAL SERVICE-LARGE - 1 CRITICAL PEAK,Power,Transmission,General Service,AEP_OH_CS_LF_TRAN,
AEP_OH_CS,AEP_OH_CS_RC_273,"General Service Small, Optional Unmetered School",Power,Secondary,Sch-Univ,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_284,Expermental-Small General Service-Time-of-Day,Power,Secondary,GenSvc-Lg,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_311,"General Service Large, Schedule GS-4",Power,Transmission,GenSvc-Lg,AEP_OH_CS_LF_TRAN,
AEP_OH_CS,AEP_OH_CS_RC_312,"General Service Large, Schedule GS-4 FED",Power,Transmission,GenSvc-Lg,AEP_OH_CS_LF_TRAN,
AEP_OH_CS,AEP_OH_CS_RC_338,Interruptible Power-Discretionary (IRP-D)-Subtransmission,Power,Transmission,General Service,AEP_OH_CS_LF_TRAN,
AEP_OH_CS,AEP_OH_CS_RC_339,Interruptible Power-Discretionary (IRP-D)-Transmission,Power,Transmission,General Service,AEP_OH_CS_LF_TRAN,
AEP_OH_CS,AEP_OH_CS_RC_529,Street Lighting Tariff,Power,Secondary,Ltg-St,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_532,Street Lighting Tariff-Shoebox Fixture,Power,Secondary,Ltg-St,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_732,Traffic Lighting Tariff,Power,Secondary,Ltg-Traffic,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_770,OPEN ACCESS DELIVERY - GENERAL SERVICE-LOW LF-SECONDARY - 1 CRITICAL PEAK,Power,Secondary,General Service,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_771,OPEN ACCESS DELIVERY - GENERAL SERVICE-LOW LF - PRIMARY - 1 CRITICAL PEAK,Power,Primary,General Service,AEP_OH_CS_LF_PRI,
AEP_OH_CS,AEP_OH_CS_RC_773,OPEN ACCESS DELIVERY - GENERAL SERVICE-MEDIUM LF-SECONDARY - 1 CRITICAL PEAK,Power,Secondary,General Service,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_774,OPEN ACCESS DELIVERY - GENERAL SERVICE-MEDIUM LF-PRIMARY - 1 CRITICAL PEAK,Power,Primary,General Service,AEP_OH_CS_LF_PRI,
AEP_OH_CS,AEP_OH_CS_RC_779,OPEN ACCESS DELIVERY - GENERAL SERVICE-LARGE - 1 CRITICAL PEAK,Power,Transmission,GenSvc-Lg,AEP_OH_CS_LF_TRAN,
AEP_OH_CS,AEP_OH_CS_RC_811,Open Access Delivery-Residential Service w/ Water Heater 80 Gallons,Power,Secondary,Residential,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_816,"Open Access Delivery-Water Heater, 80 Gallons Minimum Capacity",Power,Secondary,Water Htg,AEP_OH_CS_LF_SEC,
AEP_OH_CS,AEP_OH_CS_RC_817,"Open Access Delivery-Water Heater, 100Gallons Minimum Capacity",Power,Secondary,Water Htg,AEP_OH_CS_LF_SEC,
