CUSTOMERNAME,CUSTOMERID,LDC_ACCOUNT,ACCOUNTID,JURISCODE,PROFILECODE,METERTYPE,LOSSCODE,ZONECODE,STARTTIME,STOPTIME,USAGE,PEAK,CAPTAG_STARTTIME,CAPTAG_STOPTIME,CAPTAG_DELTA,CUR_CAPTAG
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037525822000029698,PJM_ATSITE_08037525822000029698,OH,TE_C2,N,SECONDARY,FEOHIOTE,6/1/19,5/31/20,"283,333.21",92.56,6/1/18,5/31/2019,-16.7103,37.9327
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037512275001351076,PJM_ATSIOE_08037512275001351076,OH,OE_C2,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,"201,911.07",232.13,6/1/18,5/31/2019,31.3228,45.9337
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08005952195000050314,PJM_ATSICE_08005952195000050314,OH,CE_SL,N,SECONDARY,FEOHIOCE,6/1/19,5/31/20,"2,008.30",0.64,6/1/18,5/31/2019,0.0000,0
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08004738802750025526,PJM_ATSITE_08004738802750025526,OH,TE_CG,N,SECONDARY,FEOHIOTE,6/1/19,5/31/20,"3,786.65",1.01,6/1/18,5/31/2019,0.2586,0.8547
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08005691265000236733,PJM_ATSITE_08005691265000236733,OH,TE_C2,N,PRIMARY,FEOHIOTE,6/1/19,5/31/20,"666,594.05",208.52,6/1/18,5/31/2019,-39.3709,128.9218
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08028803665000078309,PJM_ATSIOE_08028803665000078309,OH,OE_TL,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,"4,549.05",0.54,6/1/18,5/31/2019,-0.0205,0.6159
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08006689092930009127,PJM_ATSITE_08006689092930009127,OH,TE_CG,N,SECONDARY,FEOHIOTE,6/1/19,5/31/20,721.10,0.69,6/1/18,5/31/2019,-0.5644,0
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037538985001276868,PJM_ATSIOE_08037538985001276868,OH,OE_C1,N,PRIMARY,FEOHIOOE,6/1/19,5/31/20,"3,555,223.51",708.17,6/1/18,5/31/2019,-342.0428,397.6303
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037508391050000534,PJM_ATSICE_08037508391050000534,OH,CE_C2,N,SECONDARY,FEOHIOCE,6/1/19,5/31/20,"3,375,923.61","1,080.72",6/1/18,5/31/2019,-309.7265,543.7385
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08005145965000280528,PJM_ATSICE_08005145965000280528,OH,CE_CG,N,SECONDARY,FEOHIOCE,6/1/19,5/31/20,"2,852.79",0.71,6/1/18,5/31/2019,-0.0079,0.712
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037524795001343256,PJM_ATSICE_08037524795001343256,OH,CE_C2,N,SECONDARY,FEOHIOCE,6/1/19,5/31/20,"388,426.86",145.60,6/1/18,5/31/2019,-13.8301,51.2956
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037516580001531910,PJM_ATSIOE_08037516580001531910,OH,OE_C2,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,"695,120.23",253.86,6/1/18,5/31/2019,-106.3323,80.3083
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037522120000429726,PJM_ATSIOE_08037522120000429726,OH,OE_C2,N,PRIMARY,FEOHIOOE,6/1/19,5/31/20,"469,915.17",161.68,6/1/18,5/31/2019,-64.0475,59.9416
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037539035001320890,PJM_ATSIOE_08037539035001320890,OH,OE_C1,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,"198,813.68",47.34,6/1/18,5/31/2019,-22.6351,17.1165
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037525822020014187,PJM_ATSITE_08037525822020014187,OH,TE_C2,N,SECONDARY,FEOHIOTE,6/1/19,5/31/20,"148,061.27",46.47,6/1/18,5/31/2019,-14.5580,19.4837
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037525340000223367,PJM_ATSIOE_08037525340000223367,OH,OE_C2,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,"91,267.13",34.63,6/1/18,5/31/2019,-2.8196,10.852
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08037522800001492350,PJM_ATSIOE_08037522800001492350,OH,OE_C2,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,"837,528.90",286.11,6/1/18,5/31/2019,-88.4185,144.1141
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08004881450000413401,PJM_ATSIOE_08004881450000413401,OH,OE_C2,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,"28,803.46",18.55,6/1/18,5/31/2019,-8.4079,5.4917
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08006583665000219199,PJM_ATSIOE_08006583665000219199,OH,OE_SL,N,SECONDARY,FEOHIOOE,6/1/19,5/31/20,"7,948.68",2.40,6/1/18,5/31/2019,0.0000,0
POWER 4 SCHOOLS ELECTRIC PROGRAM_AGG,1-IZS153,08007312871960001176,PJM_ATSICE_08007312871960001176,OH,CE_C2,N,SECONDARY,FEOHIOCE,6/1/19,5/31/20,"183,310.81",57.77,6/1/18,5/31/2019,-11.3048,33.722
